type;driver;driver_name;unit;weight;duplicated;na_is_zero;source
Banking system access and depth;Financial_system_deposits_percent_of_GDP;Financial system deposits;% (GDP);GDPperCapita;;;The International Monetary Fund
Banking system access and depth;Firms_using_bank_credit_to_finance_investment_percent_of_all_firms;Firms using bank credit to finance investment;% (all firms);GDPperCapita;;;The World Bank
Banking system access and depth;Foreign_bank_assets_as_percent_of_the_total_bank_assets;Foreign bank assets;% (total bank assets);GDPperCapita;;;Global Financial Development Database
Banking system access and depth;Percent_of_people_aged_15__who_have_a_credit_card;Have a credit card;% (people aged 15);GDPperCapita;;;The World Bank
Banking system access and depth;Percent_of_people_aged_15__who_have_a_debit_card;Have a debit card;% (people aged 15);GDPperCapita;;;The World Bank
Banking system access and depth;Liquid_liabilities_percent_of_GDP;Liquid liabilities;% (GDP);GDPperCapita;;;The International Monetary Fund
Banking system access and depth;People_with_bank_accounts_percent_of_the_population_over_14_years_of_age;People with bank accounts;% (population over 14 years of age);GDPperCapita;;;The World Bank
Banking system access and depth;Small_firms_with_bank_credit_percent_of_all_small_firms;Small firms with bank credit;% (all firms);GDPperCapita;;;The World Bank
Banking system efficiency and stability;Bank_cost_to_income_ratio_in_percent;Bank cost to income ratio;%;GDPperCapita;;;Bankscope
Banking system efficiency and stability;Bank_credit_as_percent_of_bank_deposits;Bank credit;% (bank deposits);GDPperCapita;;;The International Monetary Fund
Banking system efficiency and stability;Bank_interest_revenue_percent_of_interest_bearing_assets;Bank interest revenue;% (interest bearing assets);GDPperCapita;;;Bankscope
Banking system efficiency and stability;Bank_lending_deposit_interest_rate_spread;Bank lending deposit interest rate spread;%;GDPperCapita;;;The International Monetary Fund
Banking system efficiency and stability;Bank_liquid_assets_to_deposits_and_short_term_funding;Bank liquid assets to deposits and short term funding;% (liquid assets);GDPperCapita;;;Bankscope
Banking system efficiency and stability;Bank_non_interest_income_to_total_income_in_percent;Bank non interest income to total income;%;GDPperCapita;;;Bankscope
Banking system efficiency and stability;Bank_overhead_costs_percent_of_total_assets;Bank overhead costs;% (total assets);GDPperCapita;;;Bankscope
Banking system efficiency and stability;Bank_return_on_assets_in_percent;Bank return on assets;%;GDPperCapita;;;Bankscope
Banking system efficiency and stability;Bank_return_on_equity_in_percent;Bank return on equity;%;GDPperCapita;;;Bankscope
Banking system efficiency and stability;Banking_system_capital_percent_of_assets;Banking system capital;% (assets);GDPperCapita;;;The International Monetary Fund
Banking system efficiency and stability;Banking_system_regulatory_capital_to_risk_weighted_assets;Banking system regulatory capital to risk weighted assets;% (total regulatory capital to its assets held);GDPperCapita;;;The International Monetary Fund
Banking system efficiency and stability;Banking_system_z_scores;Banking system z scores index;index (probability of default of a country's banking system);GDPperCapita;;;Bankscope
Banking system efficiency and stability;Credit_information_sharing_index_0__low____8__high_;Credit information sharing index;index (0 = low, 8 = high );GDPperCapita;;;The World Bank
Banking system efficiency and stability;Index_of_legal_rights_for_creditors_and_borrowers__0___weak_to_12___strong_;Legal rights for creditors and borrowers index;index (0 = weak, 12 = strong);GDPperCapita;;;The World Bank
Banking system efficiency and stability;Interest_rates_on_bank_credit_to_the_private_sector;Interest rates on bank credit to the private sector;%;GDPperCapita;;;The World Bank
Banking system efficiency and stability;Non_performing_loans_as_percent_of_all_bank_loans;Non performing loans;% (all bank loans);GDPperCapita;;;The World Bank
Banking system efficiency and stability;Real_interest_rate__Bank_lending_rate_minus_inflation;Real interest rate  Bank lending rate minus inflation;%;GDPperCapita;;;The International Monetary Fund
Child and maternal mortality;Deaths_of_children_five_to_fourteen_years_of_age_per_1000_live_births;Deaths of children five to fourteen years of age;# per 1000 live births;GDPperCapita;;;UNICEF
Child and maternal mortality;Deaths_of_children_under_five_years_of_age_per_1000_live_births;Deaths of children under five years of age;# per 1000 live births;GDPperCapita;;;UNICEF
Child and maternal mortality;Deaths_of_female_children_under_five_years_of_age_per_1000_live_births;Deaths of female children under five years of age;# per 1000 live births;GDPperCapita;;;UNICEF
Child and maternal mortality;Deaths_of_male_children_under_five_years_of_age_per_1000_live_births;Deaths of male children under five years of age;# per 1000 live births;GDPperCapita;;;UNICEF
Child and maternal mortality;Infant_deaths_per_1000_live_births;Infant deaths;# per 1000 live births;GDPperCapita;;;UNICEF
Child and maternal mortality;Maternal_mortality_per_100000_live_births;Maternal mortality;# per 100000 live births;GDPperCapita;;;UNICEF
Child and maternal mortality;Neonates_dying_before_28_days_of_age_per_1000_births;Neonates dying before 28 days of age;# per 1000 births;GDPperCapita;;;UNICEF
Consumption and investment;Capital_investment_as_percent_of_GDP;Capital investment;% (GDP);GDPperCapita;;;The World Bank
Consumption and investment;Capital_investment_billion_USD;Capital investment;billion USD;GDPperCapita;TRUE;;The World Bank
Consumption and investment;Household_consumption_as_percent_of_GDP;Household consumption;% (GDP);GDPperCapita;;;The World Bank
Consumption and investment;Household_consumption_billion_USD;Household consumption;billion USD;GDPperCapita;TRUE;;The World Bank
Crime statistics;Homicides_per_100000_people;Homicides;# per 100000 people;GDPperCapita;;;The UN office on drugs and crime
Crime statistics;Kidnappings_per_100000_people;Kidnappings;#  per 100000 people;GDPperCapita;;;The UN office on drugs and crime
Crime statistics;Number_of_prisoners_per_100000_people;Number of prisoners;# per 100000 people;GDPperCapita;;;The UN office on drugs and crime
Crime statistics;Robberies_per_100000_people;Robberies;# per 100000 people;GDPperCapita;;;The UN office on drugs and crime
Crime statistics;Thefts_per_100000_people;Thefts;# per 100000 people;GDPperCapita;;;The UN office on drugs and crime
Demographics;Dependent_people_as_percent_of_the_working_age_population;Dependent people;% (working age population);GDPperCapita;;;The World Bank
Demographics;Female_population_percent_of_total;Female population;% (total population);GDPperCapita;;;United Nations Population Division
Demographics;Migrant_population_percent_of_total_population;Migrant population;% (total population);GDPperCapita;;;United Nations Population Division
Demographics;Population_ages_0_14_percent_of_total;Population ages 0 14;% (total population);GDPperCapita;;;United Nations Population Division
Demographics;Population_ages_65_and_above_percent_of_total;Population ages 65 and above;% (total population);GDPperCapita;;;United Nations Population Division
Demographics;Population_density_people_per_square_km;Population density;people per square km;GDPperCapita;;;FAO
Demographics;Population_growth_percent;Population growth;%;GDPperCapita;;;The United Nations Population Division
Demographics;Population_size_in_millions;Population size;millions;GDPperCapita;;;The United Nations Population Division
Demographics;Refugee_population;Refugee;population;GDPperCapita;;;United Nations High Commissioner for Refugees
Demographics;Rural_population_percent_of_total_population;Rural population;% (total population);GDPperCapita;;;The World Bank
Demographics;Percent_urban_population;urban population;% (total population);GDPperCapita;;;United Nations Population Division
Economic freedom indexes;Business_freedom_index__0_100_;Business freedom index;index (0-100);GDPperCapita;;;The Heritage Foundation
Economic freedom indexes;Economic_freedom_overall_index__0_100_;Economic freedom index;index (0-100);GDPperCapita;;;The Heritage Foundation
Economic freedom indexes;Financial_freedom_index__0_100_;Financial freedom index;index (0-100);GDPperCapita;;; The Heritage Foundation
Economic freedom indexes;Fiscal_freedom_index__0_100_;Fiscal freedom index;index (0-100);GDPperCapita;;;The Heritage Foundation
Economic freedom indexes;Freedom_from_corruption_index__0_100_;Freedom from corruption index;index (0-100);GDPperCapita;;; The Heritage Foundation
Economic freedom indexes;Investment_freedom_index__0_100_;Investment freedom index;index (0-100);GDPperCapita;;;The Heritage Foundation
Economic freedom indexes;Labor_freedom_index__0_100_;Labor freedom index;index (0-100);GDPperCapita;;;The Heritage Foundation
Economic freedom indexes;Monetary_freedom_index__0_100_;Monetary freedom index;index (0-100);GDPperCapita;;;The Heritage Foundation
Economic freedom indexes;Property_rights_index__0_100_;Property rights index;index (0-100);GDPperCapita;;;The Heritage Foundation
Economic freedom indexes;Trade_freedom_index__0_100_;Trade freedom index;index (0-100);GDPperCapita;;;The World Bank
Economic structure;Industry_value_added_billion_USD;Industry value added;billion USD;GDPperCapita;;;The World Bank
Economic structure;Manufacturing_value_added_billion_USD;Manufacturing value added;billion USD;GDPperCapita;;;The World Bank
Economic structure;Savings_as_percent_of_GDP;Savings;% (GDP);GDPperCapita;;;The World Bank
Economic structure;Savings_billion_USD;Savings;billion USD;GDPperCapita;TRUE;;The World Bank
Economic structure;Services_value_added_billion_USD;Services value added;billion USD;GDPperCapita;;;The World Bank
Economic structure;Value_added_by_industry_as_percent_of_GDP;Value added by industry;% (GDP);GDPperCapita;;;The World Bank
Economic structure;Value_added_by_the_manufacturing_sector_as_percent_of_GDP;Value added by the manufacturing sector;% (GDP);GDPperCapita;;;The World Bank
Economic structure;Value_added_in_the_services_sector_as_percent_of_GDP;Value added in the services sector;% (GDP);GDPperCapita;;;The World Bank
Education spending and outcomes;Female_literacy_rate_ages_15_24;Female literacy rate ages 15 24;% (0-100);GDPperCapita;;;UNESCO
Education spending and outcomes;Literacy_rate;Literacy rate;% (0-100);GDPperCapita;;;UNESCO
Education spending and outcomes;Male_literacy_rate_ages_15_24;Male literacy rate ages 15 24;% (0-100);GDPperCapita;;;UNESCO
Education spending and outcomes;PISA_math_scores;PISA math scores index;index (mean 500, sd 100);GDPperCapita;;;PISA/OECD
Education spending and outcomes;PISA_reading_scores;PISA reading scores index;index (mean 500, sd 100);GDPperCapita;;;PISA/OECD
Education spending and outcomes;PISA_science_scores;PISA science scores index;index (mean 500, sd 100);GDPperCapita;;;PISA/OECD
Education spending and outcomes;Preprimary_school_enrollment_percent_of_all_eligible_children;Preprimary school enrollment;% (eligible children);GDPperCapita;;;UNESCO
Education spending and outcomes;Primary_school_completion_rate;Primary school completion rate;%;GDPperCapita;;;UNESCO
Education spending and outcomes;Primary_school_enrollment_percent_of_all_eligible_children;Primary school enrollment;% (eligible children);GDPperCapita;;;UNESCO
Education spending and outcomes;Primary_school_starting_age;Primary school starting age;age;GDPperCapita;;;UNESCO
Education spending and outcomes;Public_spending_on_education_percent_of_GDP;Public spending on education;% (GDP);GDPperCapita;;;UNESCO
Education spending and outcomes;Public_spending_on_education_percent_of_public_spending;Public spending on education;% (public spending);GDPperCapita;TRUE;;UNESCO
Education spending and outcomes;Ratio_of_female_to_male_pupils_in_primary_school;Ratio of female to male pupils in primary school;ratio (female to male);GDPperCapita;;;UNESCO
Education spending and outcomes;Ratio_of_female_to_male_students_in_secondary_school;Ratio of female to male students in secondary school;ratio (female to male);GDPperCapita;;;UNESCO
Education spending and outcomes;Ratio_of_female_to_male_students_in_tertiary_level_education;Ratio of female to male students in tertiary level education;ratio (female to male);GDPperCapita;;;UNESCO
Education spending and outcomes;Secondary_school_enrollment_percent_of_all_eligible_children;Secondary school enrollment;% (eligible children);GDPperCapita;;;UNESCO
Education spending and outcomes;Student_teacher_ratio_primary_school;Student teacher ratio primary school;ratio;GDPperCapita;;;UNESCO
Education spending and outcomes;Tertiary_school_enrollment_percent_of_all_eligible_children;Tertiary school enrollment;% (eligible children);GDPperCapita;;;UNESCO
Education spending and outcomes;Trained_teachers_in_primary_education_percent_of_total;Trained teachers in primary education;% (total teachers);GDPperCapita;;;UNESCO
Education spending and outcomes;Youth_literacy_rate_ages_15_24;Youth literacy rate ages 15 24;% (0-100);GDPperCapita;;;UNESCO
Energy and environment;Access_to_electricity_percent_of_the_population;Access to electricity;% (population);population;;;The World Bank
Energy and environment;Alternative_and_nuclear_energy_percent_of_total_energy_use;Alternative and nuclear energy;% (total energy use);GDPperCapita;;;The World Bank
Energy and environment;Carbon_dioxide_emissions_per_capita;Carbon dioxide emissions per capita;t CO2 eq per capita;GDPperCapita;;;The World Bank
Energy and environment;Carbon_dioxide_emissions_thousands_of_tonnes;Carbon dioxide emissions;Mt CO2eq;GDPperCapita;;;The World Bank
Energy and environment;Diesel_prices_at_the_pump_in_dollars_per_liter;Diesel prices at the pump;USD (liter);GDPperCapita;;;The German Agency for International Cooperation
Energy and environment;Electricity_production_from_renewable_sources_million_kWh;Electricity production from renewable sources;GWh;GDPperCapita;;;The International Energy Agency
Energy and environment;Energy_imports_as_percent_of_total_energy_use;Energy imports;% (total energy use);GDPperCapita;;;The World Bank
Energy and environment;Energy_use_per__1000_of_GDP;Energy use;energy per 1000 USD GDP;GDPperCapita;TRUE;;The World Bank
Energy and environment;Energy_use_per_capita;Energy use;energy per capita;GDPperCapita;;;The World Bank
Energy and environment;Gasoline_prices_at_the_pump_in_dollars_per_liter;Gasoline prices at the pump;USD (liter);GDPperCapita;;;The German Agency for International Cooperation
Energy and environment;GDP_per_unit_of_energy_used;GDP;# per energy used;GDPperCapita;TRUE;;The World Bank
Energy and environment;Greenhouse_gas_emissions;Greenhouse gas emissions;kt CO2eq;GDPperCapita;;;The World Bank
Energy and environment;Income_from_natural_resources_percent_of_GDP;Income from natural resources;% (GDP);GDPperCapita;;;The World Bank
Energy and environment;Revenue_minus_production_cost_of_natural_gas_percent_of_GDP;Revenue minus production cost of natural gas;% (GDP);GDPperCapita;;;The World Bank
Energy and environment;Revenue_minus_production_cost_of_oil_percent_of_GDP;Revenue minus production cost of oil;% (GDP);GDPperCapita;;;The World Bank
Energy mix;Fossil_fuels_electricity_capacity_million_kilowatts;Fossil fuels electricity capacity;GW;GDPperCapita;;;The U.S. Energy Information Administration
Energy mix;Fossil_fuels_electricity_generation_billion_kilowatthours;Fossil fuels electricity generation;TWh;GDPperCapita;;;The U.S. Energy Information Administration
Energy mix;Geothermal_electricity_capacity_million_kilowatts;Geothermal electricity capacity;GW;GDPperCapita;;;The U.S. Energy Information Administration
Energy mix;Geothermal_electricity_generation_billion_kilowatthours;Geothermal electricity generation;TWh;GDPperCapita;;;The U.S. Energy Information Administration
Energy mix;Hydroelectricity_capacity_million_kilowatts;Hydroelectricity capacity;GW;GDPperCapita;;;The U.S. Energy Information Administration
Energy mix;Hydroelectricity_generation_billion_kilowatthours;Hydroelectricity generation;TWh;GDPperCapita;;;The U.S. Energy Information Administration
Energy mix;Nuclear_electricity_capacity_million_kilowatts;Nuclear electricity capacity;GW;GDPperCapita;;;The U.S. Energy Information Administration
Energy mix;Nuclear_power_generation_billion_kilowatthours;Nuclear power generation;TWh;GDPperCapita;;;The U.S. Energy Information Administration
Energy mix;Solar_electricity_capacity_million_kilowatts;Solar electricity capacity;GW;GDPperCapita;;;The U.S. Energy Information Administration
Energy mix;Solar_electricity_generation_billion_kilowatthours;Solar electricity generation;TWh;GDPperCapita;;;The U.S. Energy Information Administration
Energy mix;Wind_electricity_capacity_million_kilowatts;Wind electricity capacity;GW;GDPperCapita;;;The U.S. Energy Information Administration
Energy mix;Wind_electricity_generation_billion_kilowatthours;Wind electricity generation;TWh;GDPperCapita;;;The U.S. Energy Information Administration
Forecast from the IMF;Budget_balance_forecast_percent_of_GDP;Budget balance forecast;% (GDP);GDPperCapita;;;International Monetary Fund
Forecast from the IMF;Current_account_balance_forecast_percent_of_GDP;Current account balance forecast;% (GDP);GDPperCapita;;;International Monetary Fund
Forecast from the IMF;Economic_growth_forecast;Economic growth forecast;%;GDPperCapita;;;International Monetary Fund
Forecast from the IMF;Inflation_forecast;Inflation forecast;%;GDPperCapita;;;International Monetary Fund
Forecast from the IMF;Investment_forecast;Investment forecast;%;GDPperCapita;;;International Monetary Fund
Forecast from the IMF;Unemployment_rate_forecast;Unemployment rate forecast;%;GDPperCapita;;;International Monetary Fund
Fragile state index;Demographic_pressures_0__low____10__high_;Demographic pressures index;index (0 = low, 10 = high);GDPperCapita;;;Fund for Peace
Fragile state index;Economic_decline_index_0__low____10__high_;Economic decline index;index (0 = low, 10 = high);GDPperCapita;;;Fund for Peace
Fragile state index;External_interventions_index_0__low____10__high_;External interventions index;index (0 = low, 10 = high);GDPperCapita;;;Fund for Peace
Fragile state index;Factionalized_elites_index_0__low____10__high_;Factionalized elites index;index (0 = low, 10 = high);GDPperCapita;;;Fund for Peace
Fragile state index;Fragile_state_index_0__low____120__high_;Fragile state index;index (0 = low, 120 = high);GDPperCapita;;;Fund for Peace
Fragile state index;Group_grievance_index_0__low____10__high_;Group grievance index;index (0 = low, 10 = high);GDPperCapita;;;Fund for Peace
Fragile state index;Human_flight_and_brain_drain_index_0__low____10__high_;Human flight and brain drain index;index (0 = low, 10 = high);GDPperCapita;;;Fund for Peace
Fragile state index;Human_rights_and_rule_of_law_index_0__high____10__low_;Human rights and rule of law index;index (0 = low, 10 = high);GDPperCapita;;;Fund for Peace
Fragile state index;Public_services_index_0__high____10__low_;Public services index;index (0 = low, 10 = high);GDPperCapita;;;Fund for Peace
Fragile state index;Refugees_and_displaced_persons_index_0__low____10__high_;Refugees and displaced persons index;index (0 = low, 10 = high);GDPperCapita;;;Fund for Peace
Fragile state index;Security_threats_index_0__low____10__high_;Security threats index;index (0 = low, 10 = high);GDPperCapita;;;Fund for Peace
Fragile state index;State_legitimacy_index_0__high____10__low_;State legitimacy index;index (0 = low, 10 = high);GDPperCapita;;;Fund for Peace
Fragile state index;Uneven_economic_development_index_0__low____10__high_;Uneven economic development index;index (0 = low, 10 = high);GDPperCapita;;;Fund for Peace
GDP and economic growth;Economic_growth__the_rate_of_change_of_real_GDP;Economic growth;% (real GDP);GDPperCapita;;;The World Bank
GDP and economic growth;GDP_per_capita_constant_2010_dollars;GDP per capita;constant 2010 USD;GDPperCapita;;;The World Bank
GDP and economic growth;GDP_per_capita_current_U_S__dollars;GDP per capita;current USD;GDPperCapita;TRUE;;The World Bank
GDP and economic growth;GDP_per_capita_Purchasing_Power_Parity;GDP per capita;purchasing Power Parity;GDPperCapita;TRUE;;The World Bank
GDP and economic growth;GDP_per_hour_worked_in_current_USD_PPP_adjusted;GDP per hour worked;current USD PPP adjusted;GDPperCapita;TRUE;;OECD
GDP and economic growth;GDP_per_hour_worked_index_relative_to_the_U_S_;GDP per hour worked index index;index (relative to the U S);GDPperCapita;;;OECD
GDP and economic growth;Gross_Domestic_Product_billions_of_2010_U_S__dollars;Gross Domestic Product billions of 2010 US dollars;billions of 2010 USD;GDPperCapita;;;The World Bank
GDP and economic growth;Gross_Domestic_Product_billions_of_U_S__dollars;Gross Domestic Product billions of US  dollars;billions of USD;GDPperCapita;;;The World Bank
Globalization indexes;Economic_globalization_index__0_100_;Economic globalization index;index (0-100);GDPperCapita;;;The Swiss Institute of Technology in Zurich
Globalization indexes;Globalization_index__0_100_;Globalization index;index (0-100);GDPperCapita;;;The Swiss Institute of Technology in Zurich
Globalization indexes;Political_globalization_index__0_100_;Political globalization index;index (0-100);GDPperCapita;;;The Swiss Institute of Technology in Zurich
Globalization indexes;Social_globalization_index__0_100_;Social globalization index;index (0-100);GDPperCapita;;;The Swiss Institute of Technology in Zurich
Governance and business environment;Civil_liberties_index_7__weak____1__strong_;Civil liberties index;index (7 = weak, 1 = strong);GDPperCapita;;;The Freedom House
Governance and business environment;Competitiveness___World_Economic_Forum_index__0_100_;Competitiveness - World Economic Forum index;index (0-100);GDPperCapita;;;The World Economic Forum
Governance and business environment;Control_of_corruption___2_5_weak__2_5_strong_;Control of corruption index;index (-2.5 = weak, 2.5 = strong);GDPperCapita;;;The World Bank
Governance and business environment;Corruption_Perceptions_Index_100___no_corruption;Corruption Perceptions Index;index (0-100 no corruption);GDPperCapita;;;Transparency International
Governance and business environment;Cost_of_starting_a_business___of_income_per_capita;Cost of starting a business;# of income per capita;GDPperCapita;;;The World Bank
Governance and business environment;Government_effectiveness_index___2_5_weak__2_5_strong_;Government effectiveness index;index (-2.5 = weak, 2.5 = strong);GDPperCapita;;;The World Bank
Governance and business environment;Political_rights_index_7__weak____1__strong_;Political rights index;index (7 = weak, 1 = strong);GDPperCapita;;;The Freedom House
Governance and business environment;Political_stability_index___2_5_weak__2_5_strong_;Political stability index;index (-2.5 = weak, 2.5 = strong);GDPperCapita;;;The World Bank
Governance and business environment;Regulatory_quality_index___2_5_weak__2_5_strong_;Regulatory quality index;index (-2.5 = weak, 2.5 = strong);GDPperCapita;;;The World Bank
Governance and business environment;Rule_of_law_index___2_5_weak__2_5_strong_;Rule of law index;index (-2.5 = weak, 2.5 = strong);GDPperCapita;;;The World Bank
Governance and business environment;Shadow_economy_percent_of_GDP;Shadow economy;% (GDP);GDPperCapita;;;IMF - Medina and Medina and Schneider (2018)
Governance and business environment;Voice_and_accountability_index___2_5_weak__2_5_strong_;Voice and accountability index;index (-2.5 = weak, 2.5 = strong);GDPperCapita;;;The World Bank
Government;Fiscal_balance_percent_of_GDP;Fiscal balance;% (GDP);GDPperCapita;;;The World Bank
Government;Foreign_aid_and_official_development_assistance_received;Foreign aid and official development assistance received;million USD;GDPperCapita;;;The World Bank
Government;Government_debt_as_percent_of_GDP;Government debt as percent of GDP;% (GDP);GDPperCapita;;;The World Bank
Government;Government_spending_billion_USD;Government spending;billion USD;GDPperCapita;;;The World Bank
Government;Government_spending_as_percent_of_GDP;Government spending percent;% (GDP);GDPperCapita;;;The World Bank
Government;Income_profits_and_capital_gains_taxes__percent_of_revenue;Income profits and capital gains taxes;% (revenue);GDPperCapita;;;The World Bank
Government;Number_of_taxes_paid_by_businesses;Number of taxes paid by businesses;# (taxes);GDPperCapita;;;The World Bank (doing business survey)
Government;Tax_preparation_time_in_hours;Tax preparation time in hours;hours;GDPperCapita;;;The World Bank (doing business survey)
Government;Tax_rate_percent_of_commercial_profits;Tax rate percent;% (commercial profits);GDPperCapita;;;The World Bank (doing business survey)
Government;Tax_revenue_percent_of_GDP;Tax revenue;% (GDP);GDPperCapita;;;The World Bank
Government;Taxes_on_goods_and_services_percent_of_total_revenue;Taxes on goods and services;% (total revenue);GDPperCapita;;;The World Bank
Government;Taxes_on_international_trade_percent_of_total_revenue;Taxes on international trade;% (total revenue);GDPperCapita;;;The World Bank
Health spending and outcomes;Cases_of_Tuberculosis_per_100000_people;Cases of Tuberculosis;per 100000 people;GDPperCapita;;;The World Bank
Health spending and outcomes;Anemia_percent_of_children_ages_6_59_months;Children anemia;% (children ages 6-59 months);GDPperCapita;;;The World Health Organization
Health spending and outcomes;Percent_of_one_year_old_children_with_Hepatitis_B_immunization;Children Hepatitis B immunization;% (one year old children);GDPperCapita;;;The World Health Organization
Health spending and outcomes;Percent_of_children_ages_12_23_months_with_DPT_immunization;Children with DPT immunization;% (children ages 12-23 months);GDPperCapita;;;The World Health Organization
Health spending and outcomes;Percent_of_children_ages_12_23_months_with_measles_immunization;Children with measles immunization;% (children ages 12-23 months);GDPperCapita;;;The World Health Organization
Health spending and outcomes;Death_rate_per_1000_people;Death rate;per 1000 people;GDPperCapita;;;The World Bank
Health spending and outcomes;Diabetes_prevalence_percent_of_population_ages_20_79;Diabetes prevalence;% (population ages 20-79);GDPperCapita;;;International Diabetes Federation
Health spending and outcomes;Fertility_rate_births_per_woman;Fertility rate births;# per woman;GDPperCapita;;;The World Bank
Health spending and outcomes;Health_spending_as_percent_of_GDP;Health spending;% (GDP);GDPperCapita;;;The World Bank
Health spending and outcomes;Health_spending_per_capita;Health spending;per capita;GDPperCapita;TRUE;;The World Bank
Health spending and outcomes;Life_expectancy_in_years;Life expectancy;years;GDPperCapita;;;The United Nations Population Division
Health spending and outcomes;Life_expectancy_in_years_female;Life expectancy - female;years;GDPperCapita;;;The United Nations Population Division
Health spending and outcomes;Life_expectancy_in_years_male;Life expectancy - male;years;GDPperCapita;;;The United Nations Population Division
Health spending and outcomes;Prevalence_of_HIV_percent_of_the_population_ages_15_49;Prevalence of HIV;% (population ages 15-49);GDPperCapita;;;The World Bank
Health spending and outcomes;Prevalence_of_undernourishment_percent_of_population;Prevalence of undernourishment;% (population);GDPperCapita;;;FAO
Health spending and outcomes;Percent_rural_population_with_access_to_drinking_water;Rural population with access to drinking water;%;GDPperCapita;;;WHO/UNICEF
Health spending and outcomes;Suicide_mortality_rate_per_100000_population;Suicide mortality rate;# per 100000 population;GDPperCapita;;;The World Health Organization
Health spending and outcomes;The_number_of_crude_births_per_1000_people_per_year;The number of crude births;# per 1000 people per year;GDPperCapita;;;The World Bank
Health spending and outcomes;Traffic_accident_deaths_per_100000_people;Traffic accident deaths;# per 100000 people;GDPperCapita;;;The World Health Organization
Health spending and outcomes;Percent_urban_population_with_access_to_drinking_water;Urban population with access to drinking water;%;GDPperCapita;;;WHO/UNICEF
Healthcare resources;Computed_tomography_scanners_per_million_people;Computed tomography scanners;# per million people;GDPperCapita;;;OECD
Healthcare resources;Dentists_per_1000_people;Dentists;# per 1000 people;GDPperCapita;;;OECD
Healthcare resources;Doctors_per_1000_people;Doctors;# per 1000 people;GDPperCapita;;;OECD
Healthcare resources;Hospital_beds;Hospital beds;#;GDPperCapita;;;OECD
Healthcare resources;Hospital_beds_per_1000_people;Hospital beds;# per 1000 people;GDPperCapita;TRUE;;OECD
Healthcare resources;Magnetic_resonance_imaging_units_per_million_people;Magnetic resonance imaging units;# per million people;GDPperCapita;;;OECD
Healthcare resources;Mammographs_per_million_people;Mammographs;# per million people;GDPperCapita;;;OECD
Healthcare resources;Midwives_per_1000_live_births;Midwives per birth;# per 1000 live births;GDPperCapita;;;OECD
Healthcare resources;Midwives_per_1000_people;Midwives;# per 1000 people;GDPperCapita;TRUE;;OECD
Healthcare resources;Nurse_to_hospital_bed_ratio;Nurse to hospital bed ratio;ratio (nurse to hospital bed);GDPperCapita;;;OECD
Healthcare resources;Nurses_per_1000_people;Nurses;# per 1000 people;GDPperCapita;;;OECD
Healthcare resources;Pharmacists_per_1000_people;Pharmacists;# per 1000 people;GDPperCapita;;;OECD
